fecha;real;pronostico_rl
2025-08-08;3057.16;6231.25459967896
2025-08-09;3882.43;5858.295598420676
2025-08-10;6235.44;5414.62515639375
2025-08-11;6028.85;4685.501849019515
2025-08-12;4067.04;4718.4948694562645
2025-08-13;3516.95;4945.816744829832
2025-08-14;2459.19;3733.2078995375464
2025-08-15;3199.12;4551.197224917849
2025-08-16;5516.9;4883.07504318674
2025-08-17;4148.74;4517.466333271307
2025-08-18;6870.37;3703.4529240460624
2025-08-19;8463.46;4784.812397624578
2025-08-20;4572.44;5209.225321535025
2025-08-21;5330.72;5968.865026625102
2025-08-22;4259.38;5962.572806268544
2025-08-23;5999.49;6027.574665710945
2025-08-24;5347.37;6493.238471106298
2025-08-25;2554.15;4335.773111249385
2025-08-26;4188.96;3698.1149711459393
2025-08-27;4340.3;4300.750256919169
2025-08-28;4262.91;4202.437969727316
2025-08-29;3800.07;4510.916053992891
2025-08-30;6790.0;4359.1581583986635
2025-08-31;4475.97;4778.704560601363
2025-09-01;4267.06;4168.71542101241
2025-09-02;2550.3;3998.3333374820195
2025-09-03;4021.16;3995.7558277906774
2025-09-04;3649.66;4201.328711657529
2025-09-05;2482.9;4268.70713574694
2025-09-06;6117.71;4009.595766340395
2025-09-07;4126.5599999999995;4449.709463977165
2025-09-08;5636.51;3447.8234529705887
2025-09-09;3243.03;3872.894224839243
2025-09-10;3326.2;3935.0788257715294
2025-09-11;4926.6;4435.44690617408
2025-09-12;6710.18;5333.623994208779
2025-09-13;4429.58;4892.640651419008
2025-09-14;3386.46;5028.694875829125
2025-09-15;3999.86;3484.5878329660572
2025-09-16;4150.54;4005.1431163357684
2025-09-17;4005.9900000000002;4395.744174128377
2025-09-18;3893.12;4330.727067220429
2025-09-19;4005.18;3910.859391818953
2025-09-20;3843.54;4357.313849002519
2025-09-21;2691.5099999999998;4561.8798533964455
2025-09-22;5720.46;3379.24805199949
2025-09-23;2646.33;3386.9722741142573
2025-09-24;3088.91;3511.6851830443893
2025-09-25;3778.56;3615.5788820811536
2025-09-26;3105.04;3770.074422099136
2025-09-27;2407.17;3791.1597004048363
2025-09-28;3021.58;4042.7231170132663
2025-09-29;4503.42;2287.368216173947
2025-09-30;2080.57;2733.8083165662674
2025-10-01;2683.07;2966.427417451509
2025-10-02;4871.03;3348.1694676037605
2025-10-03;3830.05;3620.4116505823154
2025-10-04;6578.34;4591.980946475972
2025-10-05;5333.14;5012.557554158787
2025-10-06;4685.01;3741.8152988456964
2025-10-07;4909.0599999999995;4551.469163205486
2025-10-08;3133.62;4391.057363448047
2025-10-09;1669.81;4282.482422370401
2025-10-10;3641.32;4541.887043201693
2025-10-11;3308.42;4012.155766517424
2025-10-12;7182.67;4569.188605686381
2025-10-13;3442.17;3251.784397408332
2025-10-14;4659.76;3343.531280244758
2025-10-15;4066.6800000000003;3983.5876759034127
2025-10-16;6005.95;4897.298421630826
2025-10-17;3893.61;4953.405672553836
2025-10-18;5936.72;5667.695889008893
2025-10-19;6860.14;5403.560263558807
2025-10-20;4242.57;4740.358333336241
2025-10-21;4876.58;4814.410800283784
2025-10-22;3023.58;5145.652538969867
2025-10-23;4731.79;4948.524927186209
2025-10-24;3511.75;5329.56731013301
2025-10-25;4610.42;5112.409128483969
2025-10-26;5201.53;4966.532816914748
2025-10-27;6244.2;4312.5961396379225
2025-10-28;3653.7;4264.2724061819235
2025-10-29;4564.15;4910.374581255131
2025-10-30;4975.65;4963.83133182158
2025-10-31;4354.56;5431.699250040734
2025-11-01;5060.15;5270.5880690924005
2025-11-02;3814.32;5539.91035733603
2025-11-03;4448.93;3912.631747098737
2025-11-04;4892.68;4591.347713255534
2025-11-05;5522.53;4840.935106473874
2025-11-06;3632.75;4799.645464948804
2025-11-07;5448.36;5241.579860113643
2025-11-08;5299.81;5404.269302120625
2025-11-09;7276.45;6269.262301244423
2025-11-10;4537.77;4966.644790084058
2025-11-11;4823.71;4797.616913970992
2025-11-12;5992.87;4980.33444726557
2025-11-13;3626.85;5399.963924569055
2025-11-14;4311.39;5214.53315137126
2025-11-15;5579.64;5572.70673555371
2025-11-16;4809.84;5109.75002434751
2025-11-17;5170.4800000000005;4332.793328562602
2025-11-18;3523.21;4315.263318835561
2025-11-19;2698.37;3964.81552735551
2025-11-20;3936.32;4342.409291572298
2025-11-21;3204.2799999999997;4332.0243731190585
2025-11-22;6036.55;4432.320377686435
2025-11-23;4497.12;4712.899587773822
2025-11-24;6102.8;3617.1973542521505
2025-11-25;4564.63;4091.181803544968
2025-11-26;3486.43;4596.64481611128
2025-11-27;4543.32;4742.674808213555
2025-11-28;3276.3799999999997;4999.215373722805
2025-11-29;5642.5;4834.712017263652
2025-11-30;4317.4;5197.216830869068
2025-12-01;9879.94;4349.912167956245
2025-12-02;8094.68;5235.734350688834
2025-12-03;5394.92;5847.584034052523
2025-12-04;7208.89;6386.644089445142
2025-12-05;8402.04;7470.521044575543
2025-12-06;8554.62;7875.525862534927
2025-12-07;8415.96;9140.091358472684
2025-12-08;7425.68;6575.457343327914
2025-12-09;8715.23;7411.225019919023
2025-12-10;8610.15;8398.288737039553
2025-12-11;9117.36;8691.355596072048
2025-12-12;6784.01;8522.41252241807
2025-12-13;9755.0;8895.30167771325
2025-12-14;9619.88;9294.973255436706
2025-12-15;9294.53;8441.934109566431
2025-12-16;6509.01;8174.86925392026
2025-12-17;8160.860000000001;8328.840890504305
2025-12-18;8591.54;8398.613312695223
2025-12-19;9510.99;9272.743622349752
2025-12-20;9440.64;9102.646387221092
2025-12-21;10787.18;9499.839211284287
2025-12-22;8921.57;8234.690751834198
2025-12-23;11657.7;9525.352320619697
2025-12-24;6534.38;9301.907695584963
2025-12-25;9002.52;9191.32121770324
2025-12-26;8874.710000000001;9535.205664405805
2025-12-27;6882.38;9365.405180444239
2025-12-28;8281.14;9048.851800759743
2025-12-29;6020.33;7574.021409329631
2025-12-30;8702.08;7036.5286313418
